Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.dak-immz.json	372277	-	0	0	0	0	0	0	13	522	0	0	0	0	0	0	0	3	0	0	781	1194	0	0	0	55	0	4
fsh-generated/resources/ActorDefinition-communityhealthworker.json	495	6	0	0	1	0	0	1	0	13	0	0	0	0	1	0	0	0	0	0	32	40	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-eirstaff.json	427	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	31	43	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-eirstafforhealthworker.json	506	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	31	32	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-electronicimmunizationregistryeirstaff.json	592	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	29	32	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-healthworker.json	447	8	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	33	33	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-FXREQBusinessProcesses.json	1156	5	0	0	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	33	2044	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-FXREQCategories.json	1307	5	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	30	73	0	0	0	1	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.001.A.json	2090	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	34	33	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.002.A.json	1688	9	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	27	30	0	0	0	1	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.003.A.json	1662	8	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	28	18	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.004.A.json	1756	6	0	0	1	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	34	18	0	0	0	1	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.005.A.json	1733	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	29	18	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.006.A.json	1629	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	20	18	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.007.A.json	1719	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	27	27	0	0	0	1	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.008.A.json	1553	5	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	20	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.009.A.json	1639	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	30	17	0	0	0	1	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.010.A.json	1752	6	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	22	20	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.011.A.json	1550	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	19	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.012.A.json	1498	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	28	18	0	0	0	1	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.013.A.json	1492	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	33	27	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.014.A.json	1566	6	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	22	18	0	0	0	1	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.015.A.json	1649	5	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	19	23	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.016.A.json	1655	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	22	30	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.017.A.json	1593	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	24	0	0	0	1	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.018.B.json	1749	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	26	18	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.019.B.json	1561	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	17	0	0	0	1	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.020.B.json	1777	6	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	19	18	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.021.B.json	1692	5	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	22	92	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.022.B.json	1630	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	32	0	0	0	1	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.023.B.json	1624	8	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	19	18	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.030.B.json	1504	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	26	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.031.B.json	1472	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	19	18	0	0	0	1	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.032.B.json	1624	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	18	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.033.B.json	1736	5	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	29	17	0	0	0	1	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.034.B.json	1772	5	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	22	18	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.035.C.json	1559	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	17	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.036.C.json	1515	9	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	16	0	0	0	1	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.037.C.json	1453	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	17	0	0	0	0	0	1
fsh-generated/resources/Requirements-IMMZ.FXNREQ.038.C.json	1489	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	18	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.039.C.json	1619	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	17	0	0	0	1	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.040.C.json	1527	5	0	0	1	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	19	17	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.041.C.json	1473	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	16	0	0	0	1	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.042.C.json	1579	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	17	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.043.C.json	1511	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	19	17	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.044.C.json	1541	5	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	22	16	0	0	0	1	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.045.C.json	1581	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	18	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.046.C.json	1451	6	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	19	17	0	0	0	1	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.047.C.json	1549	5	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	18	18	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.048.C.json	1513	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	20	18	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.049.C.json	1530	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	18	0	0	0	1	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.050.C.json	1461	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	18	19	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.051.C.json	1475	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	17	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.052.C.json	1712	5	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	19	26	0	0	0	1	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.053.C.json	1546	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	19	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.054.C.json	1422	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	17	0	0	0	1	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.055.C.json	1539	5	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	21	19	0	0	0	0	0	0
fsh-generated/resources/Requirements-IMMZ.FXNREQ.056.C.json	1637	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	20	17	0	0	0	0	0	0
